category,energy_type,cluster,n_sensors,n_cell,proportion
Feuerwehr,Strom,4,2,5,0.4
Feuerwehr,Strom,7,1,5,0.2
Feuerwehr,Strom,8,1,5,0.2
Feuerwehr,Strom,9,1,5,0.2
Feuerwehr,Waerme,15,1,2,0.5
Feuerwehr,Waerme,17,1,2,0.5
Grundschule,Strom,3,1,42,0.023809523809523808
Grundschule,Strom,4,21,42,0.5
Grundschule,Strom,5,5,42,0.11904761904761904
Grundschule,Strom,6,5,42,0.11904761904761904
Grundschule,Strom,7,10,42,0.23809523809523808
Grundschule,Waerme,14,3,9,0.3333333333333333
Grundschule,Waerme,15,6,9,0.6666666666666666
Handel_Gewerbe,Strom,0,21,100,0.21
Handel_Gewerbe,Strom,1,21,100,0.21
Handel_Gewerbe,Strom,2,7,100,0.07
Handel_Gewerbe,Strom,3,39,100,0.39
Handel_Gewerbe,Strom,4,2,100,0.02
Handel_Gewerbe,Strom,5,2,100,0.02
Handel_Gewerbe,Strom,7,2,100,0.02
Handel_Gewerbe,Strom,8,1,100,0.01
Handel_Gewerbe,Strom,9,4,100,0.04
Handel_Gewerbe,Strom,12,1,100,0.01
Kindertagesbetreuung,Strom,3,5,20,0.25
Kindertagesbetreuung,Strom,4,5,20,0.25
Kindertagesbetreuung,Strom,6,7,20,0.35
Kindertagesbetreuung,Strom,7,3,20,0.15
Kindertagesbetreuung,Waerme,14,3,9,0.3333333333333333
Kindertagesbetreuung,Waerme,15,3,9,0.3333333333333333
Kindertagesbetreuung,Waerme,18,3,9,0.3333333333333333
Kultur_Veranstaltung,Strom,3,12,19,0.631578947368421
Kultur_Veranstaltung,Strom,4,1,19,0.05263157894736842
Kultur_Veranstaltung,Strom,5,3,19,0.15789473684210525
Kultur_Veranstaltung,Strom,6,1,19,0.05263157894736842
Kultur_Veranstaltung,Strom,7,1,19,0.05263157894736842
Kultur_Veranstaltung,Strom,8,1,19,0.05263157894736842
Kultur_Veranstaltung,Waerme,16,2,4,0.5
Kultur_Veranstaltung,Waerme,17,1,4,0.25
Kultur_Veranstaltung,Waerme,18,1,4,0.25
Sonstige,Strom,0,13,26,0.5
Sonstige,Strom,1,6,26,0.23076923076923078
Sonstige,Strom,4,2,26,0.07692307692307693
Sonstige,Strom,7,1,26,0.038461538461538464
Sonstige,Strom,10,1,26,0.038461538461538464
Sonstige,Strom,11,3,26,0.11538461538461539
Sonstige,Waerme,14,11,17,0.6470588235294118
Sonstige,Waerme,16,6,17,0.35294117647058826
Sport,Strom,5,8,16,0.5
Sport,Strom,6,1,16,0.0625
Sport,Strom,9,7,16,0.4375
Sport,Waerme,13,1,12,0.08333333333333333
Sport,Waerme,14,2,12,0.16666666666666666
Sport,Waerme,15,1,12,0.08333333333333333
Sport,Waerme,16,1,12,0.08333333333333333
Sport,Waerme,18,7,12,0.5833333333333334
Verwaltung_Buero,Strom,1,3,14,0.21428571428571427
Verwaltung_Buero,Strom,4,3,14,0.21428571428571427
Verwaltung_Buero,Strom,6,1,14,0.07142857142857142
Verwaltung_Buero,Strom,7,7,14,0.5
Verwaltung_Buero,Waerme,14,3,10,0.3
Verwaltung_Buero,Waerme,15,5,10,0.5
Verwaltung_Buero,Waerme,17,2,10,0.2
Weiterfuehrende_Schule,Strom,3,6,56,0.10714285714285714
Weiterfuehrende_Schule,Strom,4,14,56,0.25
Weiterfuehrende_Schule,Strom,5,1,56,0.017857142857142856
Weiterfuehrende_Schule,Strom,6,3,56,0.05357142857142857
Weiterfuehrende_Schule,Strom,7,27,56,0.48214285714285715
Weiterfuehrende_Schule,Strom,8,2,56,0.03571428571428571
Weiterfuehrende_Schule,Strom,9,3,56,0.05357142857142857
Weiterfuehrende_Schule,Waerme,13,2,29,0.06896551724137931
Weiterfuehrende_Schule,Waerme,14,2,29,0.06896551724137931
Weiterfuehrende_Schule,Waerme,15,8,29,0.27586206896551724
Weiterfuehrende_Schule,Waerme,16,2,29,0.06896551724137931
Weiterfuehrende_Schule,Waerme,17,14,29,0.4827586206896552
Weiterfuehrende_Schule,Waerme,18,1,29,0.034482758620689655
Wohnen,Strom,4,1,697,0.0014347202295552368
Wohnen,Strom,5,1,697,0.0014347202295552368
Wohnen,Strom,10,307,697,0.44045911047345765
Wohnen,Strom,11,94,697,0.13486370157819225
Wohnen,Strom,12,294,697,0.4218077474892396
Wohnen,Waerme,14,2,7,0.2857142857142857
Wohnen,Waerme,15,1,7,0.14285714285714285
Wohnen,Waerme,16,2,7,0.2857142857142857
Wohnen,Waerme,18,2,7,0.2857142857142857
